Competition Title,Competition Date,Category,Rank,FIRST,LAST,Country,Qualification,Semi-final,Final,Semi-Final
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,37,NANAKO,KURA,JPN,3T4Z 5 8,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,37,ANASTASIA,SANDERS,USA,3T3Z 6 6,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,39,LAURA,ROGORA,ITA,3T3Z 3 3,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,39,YEJOO,SEO,KOR,3T3Z 3 3,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,39,ALANNAH,YIP,CAN,3T3Z 9 9,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,42,JOHANNA,Fï¿½ï¿½,AUT,2T5Z 4 13,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,43,MADISON,FISCHER,CAN,2T5Z 2 16,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,43,SOL,SA,KOR,2T3Z 7 14,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,45,ERIN,MCNEICE,GBR,2T5Z 4 17,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,45,YAEL,TAUB,ISR,2T2Z 7 7,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,47,FRANZISKA,STERRER,AUT,2T5Z 5 14,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,47,ROXANA,WIENAND,GER,1T4Z 2 7,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,49,CLOE,COSCOY,USA,1T3Z 3 7,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,49,KYLIE,CULLEN,USA,2T4Z 3 4,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,51,ZOE,PEETERMANS,GBR,2T4Z 5 15,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,51,HONGCHUN,XIANG,CHN,1T3Z 3 16,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,53,LIV,EGLI,SUI,2T3Z 2 4,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,53,HUNG YING,LEE,TPE,1T3Z 4 12,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,53,JENNIFER,WOOD,GBR,2T3Z 2 4,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,56,ELISKA,ADAMOVSKA,CZE,1T3Z 4 13,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,57,INDIANA,CHAPMAN,CAN,1T2Z 1 3,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,57,ANDREA,Kï¿½ï¿,SUI,2T3Z 3 3,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,59,REGINE,STORï¿,NOR,1T2Z 2 5,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,59,YUETONG,ZHANG,CHN,1T5Z 1 13,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,61,GAYEONG,OH,KOR,1T2Z 2 8,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,61,ALEKSANDRA,TOTKOVA,BUL,1T4Z 1 9,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,63,BIANKA,JANECKA,POL,0T3Z 0 18,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,63,BABETTE,ROY,CAN,1T4Z 1 10,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,63,MAYA,STASIUK,AUS,1T4Z 1 10,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,66,MICHAELA,SMETANOVA,CZE,0T1Z 0 2,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,67,PRATEEKSHA,ARUN,IND,0T0Z 0 0,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,67,ANJA,Kï¿½ï¿½,BRA,0T0Z 0 0,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,67,ANNA,LECHNER,GER,1T4Z 2 7,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,67,LIANA NICOLE,MORA,PHI,0T0Z 0 0,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,71,INGRID,KINDLIHAGEN,NOR,1T3Z 1 6,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,72,EMILY,SCOTT,AUS,1T1Z 2 1,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,73,BIANCA,MAGALHAES DE CASTRO,BRA,0T2Z 0 4,,,
